Iterations,Accuracy (%),ATK,AGG,Momentum,seed,Bucketing
120,11.308092948717949,LF,KRUM,0.0,0,2
150,9.975961538461538,LF,KRUM,0.0,0,2
180,13.451522435897436,LF,KRUM,0.0,0,2
210,17.48798076923077,LF,KRUM,0.0,0,2
240,12.530048076923077,LF,KRUM,0.0,0,2
270,16.58653846153846,LF,KRUM,0.0,0,2
300,27.003205128205128,LF,KRUM,0.0,0,2
330,26.161858974358974,LF,KRUM,0.0,0,2
360,10.226362179487179,LF,KRUM,0.0,0,2
390,23.02684294871795,LF,KRUM,0.0,0,2
420,21.76482371794872,LF,KRUM,0.0,0,2
450,23.75801282051282,LF,KRUM,0.0,0,2
480,9.955929487179487,LF,KRUM,0.0,0,2
510,25.520833333333332,LF,KRUM,0.0,0,2
540,15.204326923076923,LF,KRUM,0.0,0,2
570,34.49519230769231,LF,KRUM,0.0,0,2
600,23.677884615384617,LF,KRUM,0.0,0,2
30,23.02684294871795,mimic,KRUM,0.0,0,2
60,40.16426282051282,mimic,KRUM,0.0,0,2
90,45.09214743589744,mimic,KRUM,0.0,0,2
120,47.526041666666664,mimic,KRUM,0.0,0,2
150,47.50600961538461,mimic,KRUM,0.0,0,2
180,47.766426282051285,mimic,KRUM,0.0,0,2
210,47.67628205128205,mimic,KRUM,0.0,0,2
240,48.928285256410255,mimic,KRUM,0.0,0,2
270,49.19871794871795,mimic,KRUM,0.0,0,2
300,48.958333333333336,mimic,KRUM,0.0,0,2
330,49.21875,mimic,KRUM,0.0,0,2
360,48.28725961538461,mimic,KRUM,0.0,0,2
390,48.94831730769231,mimic,KRUM,0.0,0,2
420,52.09334935897436,mimic,KRUM,0.0,0,2
450,49.85977564102564,mimic,KRUM,0.0,0,2
480,49.1786858974359,mimic,KRUM,0.0,0,2
510,55.358573717948715,mimic,KRUM,0.0,0,2
540,50.861378205128204,mimic,KRUM,0.0,0,2
570,51.70272435897436,mimic,KRUM,0.0,0,2
600,54.186698717948715,mimic,KRUM,0.0,0,2
30,10.837339743589743,IPM,KRUM,0.0,0,2
60,21.424278846153847,IPM,KRUM,0.0,0,2
90,16.937099358974358,IPM,KRUM,0.0,0,2
120,20.112179487179485,IPM,KRUM,0.0,0,2
150,23.54767628205128,IPM,KRUM,0.0,0,2
180,36.23798076923077,IPM,KRUM,0.0,0,2
210,45.51282051282051,IPM,KRUM,0.0,0,2
240,46.02363782051282,IPM,KRUM,0.0,0,2
270,52.61418269230769,IPM,KRUM,0.0,0,2
300,51.36217948717949,IPM,KRUM,0.0,0,2
330,50.66105769230769,IPM,KRUM,0.0,0,2
360,50.56089743589744,IPM,KRUM,0.0,0,2
390,53.48557692307692,IPM,KRUM,0.0,0,2
420,54.397035256410255,IPM,KRUM,0.0,0,2
450,53.11498397435897,IPM,KRUM,0.0,0,2
480,54.797676282051285,IPM,KRUM,0.0,0,2
510,55.39863782051282,IPM,KRUM,0.0,0,2
540,56.09975961538461,IPM,KRUM,0.0,0,2
570,56.350160256410255,IPM,KRUM,0.0,0,2
600,55.208333333333336,IPM,KRUM,0.0,0,2
30,46.92508012820513,ALIE,KRUM,0.0,0,2
60,78.75600961538461,ALIE,KRUM,0.0,0,2
90,85.40665064102564,ALIE,KRUM,0.0,0,2
120,85.64703525641026,ALIE,KRUM,0.0,0,2
150,88.2011217948718,ALIE,KRUM,0.0,0,2
180,86.54847756410257,ALIE,KRUM,0.0,0,2
210,84.78565705128206,ALIE,KRUM,0.0,0,2
240,88.89222756410257,ALIE,KRUM,0.0,0,2
270,88.72195512820512,ALIE,KRUM,0.0,0,2
300,89.24278846153847,ALIE,KRUM,0.0,0,2
330,83.43349358974359,ALIE,KRUM,0.0,0,2
360,85.29647435897436,ALIE,KRUM,0.0,0,2
390,86.97916666666667,ALIE,KRUM,0.0,0,2
420,90.68509615384616,ALIE,KRUM,0.0,0,2
450,88.81209935897436,ALIE,KRUM,0.0,0,2
480,86.61858974358974,ALIE,KRUM,0.0,0,2
510,91.40625,ALIE,KRUM,0.0,0,2
540,89.5733173076923,ALIE,KRUM,0.0,0,2
570,89.44310897435898,ALIE,KRUM,0.0,0,2
600,89.74358974358974,ALIE,KRUM,0.0,0,2
30,12.089342948717949,BF,KRUM,0.9,0,2
60,30.639022435897434,BF,KRUM,0.9,0,2
90,27.23357371794872,BF,KRUM,0.9,0,2
120,28.635817307692307,BF,KRUM,0.9,0,2
150,37.239583333333336,BF,KRUM,0.9,0,2
180,45.15224358974359,BF,KRUM,0.9,0,2
210,41.696714743589745,BF,KRUM,0.9,0,2
240,54.35697115384615,BF,KRUM,0.9,0,2
270,52.94471153846154,BF,KRUM,0.9,0,2
300,47.786458333333336,BF,KRUM,0.9,0,2
330,44.95192307692308,BF,KRUM,0.9,0,2
360,55.70913461538461,BF,KRUM,0.9,0,2
390,57.44190705128205,BF,KRUM,0.9,0,2
420,55.78926282051282,BF,KRUM,0.9,0,2
450,53.72596153846154,BF,KRUM,0.9,0,2
480,43.669871794871796,BF,KRUM,0.9,0,2
510,56.720753205128204,BF,KRUM,0.9,0,2
540,58.95432692307692,BF,KRUM,0.9,0,2
570,61.09775641025641,BF,KRUM,0.9,0,2
600,60.49679487179487,BF,KRUM,0.9,0,2
30,15.044070512820513,LF,KRUM,0.9,0,2
60,36.6786858974359,LF,KRUM,0.9,0,2
90,40.22435897435897,LF,KRUM,0.9,0,2
120,37.72035256410256,LF,KRUM,0.9,0,2
150,42.5380608974359,LF,KRUM,0.9,0,2
180,46.43429487179487,LF,KRUM,0.9,0,2
210,47.786458333333336,LF,KRUM,0.9,0,2
240,45.64302884615385,LF,KRUM,0.9,0,2
270,48.18709935897436,LF,KRUM,0.9,0,2
300,40.80528846153846,LF,KRUM,0.9,0,2
330,40.16426282051282,LF,KRUM,0.9,0,2
360,40.364583333333336,LF,KRUM,0.9,0,2
390,40.124198717948715,LF,KRUM,0.9,0,2
420,47.79647435897436,LF,KRUM,0.9,0,2
450,32.28165064102564,LF,KRUM,0.9,0,2
480,45.602964743589745,LF,KRUM,0.9,0,2
510,49.12860576923077,LF,KRUM,0.9,0,2
540,47.51602564102564,LF,KRUM,0.9,0,2
570,44.23076923076923,LF,KRUM,0.9,0,2
600,42.33774038461539,LF,KRUM,0.9,0,2
30,29.66746794871795,mimic,KRUM,0.9,0,2
60,44.78165064102564,mimic,KRUM,0.9,0,2
90,48.60777243589744,mimic,KRUM,0.9,0,2
120,46.43429487179487,mimic,KRUM,0.9,0,2
